codigo_projeto,percentual_concluido,data_inicio,data_prevista_fim,data_conclusao,valor_orcado
PRJ-0001,100,03/08/2026,2027-01-18,2026-12-30,83243.91
PRJ-0002,10,02-04-2026,2026-09-09,,247566.63
PRJ-0003,25,2026-05-31,17-07-2026,,263643.42
PRJ-0004,40,30-12-2025,2026-03-09,,128712.81
PRJ-0005,95,24/01/2026,31/05/2026,,79038.74
PRJ-0006,40,11-02-2026,03/03/2026,,17049.39
PRJ-0007,100,2026-07-04,15/09/2026,28-08-2026,82831.32
PRJ-0008,100,28-11-2025,05-02-2026,2026-03-03,84254.21
PRJ-0009,100,04-12-2025,2026-04-02,2026-03-19,135719.91
PRJ-0010,10,07/12/2025,2026-01-04,,222540.87
PRJ-0011,100,2026-06-09,26/08/2026,2026-09-09,67294.09
PRJ-0012,10,2025-12-10,26-02-2026,,42903.99
PRJ-0013,40,27/07/2026,2026-09-03,,153407.72
PRJ-0014,25,2026-04-16,11/08/2026,,295813.02
PRJ-0015,100,21-03-2026,30-07-2026,23-08-2026,219746.36
PRJ-0016,100,16-05-2026,18-07-2026,01-07-2026,32372.91
PRJ-0017,100,24-02-2026,25-03-2026,04/04/2026,31210.68
PRJ-0018,10,16-11-2025,21/12/2025,,207435.58
PRJ-0015,100,21-03-2026,30-07-2026,23-08-2026,219746.36
PRJ-0016,100,16-05-2026,18-07-2026,01-07-2026,32372.91
PRJ-0017,100,24-02-2026,25-03-2026,04/04/2026,31210.68
PRJ-0018,10,16-11-2025,21/12/2025,,207435.58
PRJ-0019,100,05/04/2026,01-08-2026,17-08-2026,26326.37
PRJ-0020,70,2026-06-23,23/10/2026,,205871.9
PRJ-0021,100,24-02-2026,11-05-2026,2026-04-29,145309.0
PRJ-0022,100,27/06/2026,14/07/2026,30-07-2026,75748.98
PRJ-0023,10,21/03/2026,2026-05-08,,96221.41
PRJ-0024,0,22-12-2025,25-05-2026,,100322.94
PRJ-0025,100,11-06-2026,30-07-2026,16/07/2026,92619.24
PRJ-0026,100,2026-04-18,29-07-2026,2026-08-18,86569.56
PRJ-0027,55,08/07/2026,15/08/2026,,110063.61
PRJ-0028,25,29-05-2026,2026-11-23,,172228.92
PRJ-0029,100,28-12-2025,04/06/2026,19-05-2026,25268.02
PRJ-0030,85,26/01/2026,09/07/2026,,102853.63
PRJ-0031,100,14-07-2026,28/10/2026,2026-10-23,237333.13
PRJ-0032,40,07/01/2026,29/06/2026,,266203.62
PRJ-0033,70,2026-07-22,20-09-2026,,261258.25
PRJ-0034,100,29/03/2026,2026-06-20,14/07/2026,259699.08
PRJ-0035,95,2026-04-12,2026-06-17,,248852.87
PRJ-0036,100,2026-04-09,2026-06-20,2026-06-12,261340.59
PRJ-0037,85,14-03-2026,26-06-2026,,109377.71
PRJ-0038,55,20/07/2026,02-09-2026,,289322.28
PRJ-0039,100,2026-03-21,14-04-2026,2026-04-21,139372.26
PRJ-0040,100,15/11/2025,2025-12-29,14/01/2026,217003.81
PRJ-0041,40,2026-08-03,2026-12-29,,34942.54
PRJ-0042,100,15-02-2026,2026-08-08,26-07-2026,103146.13
PRJ-0043,100,06-01-2026,14/04/2026,12/04/2026,134827.21
PRJ-0044,55,2026-01-21,21-03-2026,,252611.67
PRJ-0045,100,01-03-2026,28-05-2026,27-06-2026,106841.03
PRJ-0046,95,20-12-2025,27/04/2026,,202772.46
PRJ-0047,70,11/03/2026,04/08/2026,,206746.77
PRJ-0048,100,10/04/2026,2026-06-14,27-05-2026,257175.24
PRJ-0049,100,27-06-2026,05/11/2026,25-11-2026,213460.96
PRJ-0050,100,23-11-2025,20/03/2026,10/04/2026,236849.82
PRJ-0051,95,13/04/2026,12-06-2026,,86021.51
PRJ-0052,100,02-06-2026,11-10-2026,20-10-2026,184703.91
PRJ-0053,85,20-12-2025,2026-06-09,,270704.31
PRJ-0054,100,03-12-2025,2026-04-12,07-04-2026,153110.15
PRJ-0055,100,2026-04-03,27/06/2026,2026-07-22,110716.55
PRJ-0056,100,23-06-2026,12/08/2026,16-08-2026,75976.57
PRJ-0057,100,2026-01-03,02/05/2026,11/05/2026,252373.98
PRJ-0058,0,16-01-2026,2026-06-29,,150939.22
PRJ-0059,85,04-02-2026,06-05-2026,,224370.71
PRJ-0060,100,2026-04-13,30/08/2026,2026-09-06,110796.92
